Strain Name	Virus Species	GenBank Accession	Sequence Length	Collection Date	Host	GenBank Host	Country	Mol Type
BtCoV/FO1E-F65/Hip_cf._rub/GHA/2011	Human coronavirus 229E	KT253292	816	2011	Bat	Hipposideros cf. ruber	Ghana	genomic RNA	
BtCoV/FO1E-F66/Hip_cf._rub/GHA/2011	Human coronavirus 229E	KT253263	5005	2011	Bat	Hipposideros cf. ruber	Ghana	genomic RNA	
BtCoV/FO1E-F67/Hip_cf._rub/GHA/2011	Human coronavirus 229E	KT253267	5005	2011	Bat	Hipposideros cf. ruber	Ghana	genomic RNA	
BtCoV/GB59-22/Hip_cf._rub/GHA/2009	Human coronavirus 229E	KT253293	816	2009	Bat	Hipposideros cf. ruber	Ghana	genomic RNA	
BtCoV/GB59-67/Hip_aba/GHA/2009	Human coronavirus 229E	KT253294	816	2009	Bat	Hipposideros abae	Ghana	genomic RNA	
BtCoV/GB59-69/Hip_cf._rub/GHA/2009	Human coronavirus 229E	KT253295	816	2009	Bat	Hipposideros cf. ruber	Ghana	genomic RNA	
BtCoV/KW1C-F161/Hip_cf._rub/GHA/2010	Human coronavirus 229E	KT253264	5632	2010	Bat	Hipposideros cf. ruber	Ghana	genomic RNA	
BtCoV/KW1E-F12/Hip_cf._rub/GHA/2011	Human coronavirus 229E	KT253265	5005	2011	Bat	Hipposideros cf. ruber	Ghana	genomic RNA	
BtCoV/KW1E-F77/Hip_aba/GHA/2011	Human coronavirus 229E	KT253296	816	2011	Bat	Hipposideros abae	Ghana	genomic RNA	
BtCoV/KW2E-F128/Hip_cf._rub/GHA/2011	Human coronavirus 229E	KT253297	816	2011	Bat	Hipposideros cf. ruber	Ghana	genomic RNA	
BtCoV/KW2E-F151/Hip_cf._rub/GHA/2011	Human coronavirus 229E	KT253269	28026	2011	Bat	Hipposideros cf. ruber	Ghana	genomic RNA	
BtCoV/KW2E-F56/Hip_cf._rub/GHA/2011	Human coronavirus 229E	KT253271	28754	2011	Bat	Hipposideros cf. ruber	Ghana	genomic RNA	
BtCoV/KW2E-F73/Hip_cf._rub/GHA/2011	Human coronavirus 229E	KT253268	5635	2011	Bat	Hipposideros cf. ruber	Ghana	genomic RNA	
BtCoV/KWTELE-13/Hip_cf._rub/GHA/2011	Human coronavirus 229E	KT253298	816	2011	Bat	Hipposideros cf. ruber	Ghana	genomic RNA	
BtCoV/KWTELE-9/Hip_cf._rub/GHA/2011	Human coronavirus 229E	KT253299	816	2011	Bat	Hipposideros cf. ruber	Ghana	genomic RNA	
BtKY229E-1	Human coronavirus 229E	KY073747	27837	06/20/2009	Bat	Hipposideros sp.	Kenya	genomic RNA	
BtKY229E-8	Human coronavirus 229E	KY073748	27636	06/2010	Bat	Hipposideros vittatus	Kenya	genomic RNA	
CA08-1/2008	Human coronavirus 229E	JQ410000	27374	2008	Camel	Vicugna pacos	USA	genomic RNA	
camel/Abu Dhabi/B38	Human coronavirus 229E	MF593473	27389	2015	Camel	camel	United Arab Emirates	genomic RNA	
camel/Riyadh/Ry141/2015	Human coronavirus 229E	NC_028752*	27395	03/2015	Camel	camel	Saudi Arabia	genomic RNA	
Camel229E-CoV/AC04/KSA/2014	Human coronavirus 229E	KT253327	27241	2014	Camel	Camelus dromedarius	Saudi Arabia	genomic RNA	
Camel229E-CoV/JC49/KSA/2014	Human coronavirus 229E	KT253325	27193	2014	Camel	Camelus dromedarius	Saudi Arabia	genomic RNA	
Camel229E-CoV/JC50/KSA/2014	Human coronavirus 229E	KT253324	27395	2014	Camel	Camelus dromedarius	Saudi Arabia	genomic RNA	
Camel229E-CoV/JC50_HUH7/KSA/2014	Human coronavirus 229E	KT253328	27270	2014	Camel	Camelus dromedarius	Saudi Arabia	genomic RNA	
Camel229E-CoV/JC52/KSA/2014	Human coronavirus 229E	KT253326	27193	2014	Camel	Camelus dromedarius	Saudi Arabia	genomic RNA	
Camel229E-CoV/KCSP1/KEN/2015	Human coronavirus 229E	KU291449	27164	2015	Camel	Camelus dromedarius	Kenya	genomic RNA	
0349	Human coronavirus 229E	JX503060	27263	2010	Human	Homo sapiens	Netherlands	genomic RNA	
1-26	Human coronavirus 229E	AY386387	1702	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
1027	Human coronavirus 229E	AY386385	1702	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
102NSD2	Human coronavirus 229E	AY386395	1702	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
1048	Human coronavirus 229E	AY386383	1702	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
1060-Yamagata-2010	Human coronavirus 229E	LC005741	1098	2010	Human	Homo sapiens	Japan	genomic RNA	
11949_2011	Human coronavirus 229E	KM055524	1170	2011	Human	Homo sapiens	China	genomic RNA	
11949_2011	Human coronavirus 229E	KM055531	3516	2011	Human	Homo sapiens	China	genomic RNA	
11949_2011	Human coronavirus 229E	KM055590	2780	2011	Human	Homo sapiens	China	genomic RNA	
12MYKL0011	Human coronavirus 229E	KT359730	767	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL0011	Human coronavirus 229E	KT359752	1180	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL0011	Human coronavirus 229E	KT359770	850	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL0051	Human coronavirus 229E	KT359731	767	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL0051	Human coronavirus 229E	KT359753	1180	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL0051	Human coronavirus 229E	KT359771	850	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL0052	Human coronavirus 229E	KT359732	767	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL0052	Human coronavirus 229E	KT359754	1180	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL0052	Human coronavirus 229E	KT359772	850	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL0106	Human coronavirus 229E	KT359733	767	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL0106	Human coronavirus 229E	KT359755	1168	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL0126	Human coronavirus 229E	KT359734	767	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL0126	Human coronavirus 229E	KT359756	1180	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL0126	Human coronavirus 229E	KT359773	850	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL0335	Human coronavirus 229E	KT359735	767	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL0335	Human coronavirus 229E	KT359757	1180	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL0335	Human coronavirus 229E	KT359774	850	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL0367	Human coronavirus 229E	KT359736	767	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL0367	Human coronavirus 229E	KT359758	1180	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL0367	Human coronavirus 229E	KT359775	850	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL0415	Human coronavirus 229E	KT359737	767	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL0415	Human coronavirus 229E	KT359759	1180	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL0415	Human coronavirus 229E	KT359776	850	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL0424	Human coronavirus 229E	KT359738	767	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL0424	Human coronavirus 229E	KT359777	829	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL0543	Human coronavirus 229E	KT359739	767	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL0543	Human coronavirus 229E	KT359760	1180	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL0543	Human coronavirus 229E	KT359778	850	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL0667	Human coronavirus 229E	KT359740	767	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL0667	Human coronavirus 229E	KT359761	1180	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL0667	Human coronavirus 229E	KT359779	850	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL0784	Human coronavirus 229E	KT359741	767	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL0784	Human coronavirus 229E	KT359780	850	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL0929	Human coronavirus 229E	KT359742	767	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL1076	Human coronavirus 229E	KT359743	767	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL1076	Human coronavirus 229E	KT359762	1168	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL1102	Human coronavirus 229E	KT359744	767	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL1102	Human coronavirus 229E	KT359763	1180	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL1102	Human coronavirus 229E	KT359781	850	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL1271	Human coronavirus 229E	KT359745	767	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL1271	Human coronavirus 229E	KT359764	1180	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL1271	Human coronavirus 229E	KT359782	850	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL1586	Human coronavirus 229E	KT359746	767	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL1586	Human coronavirus 229E	KT359765	1180	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL1586	Human coronavirus 229E	KT359783	850	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL1616	Human coronavirus 229E	KT359747	767	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL1616	Human coronavirus 229E	KT359766	1180	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL1616	Human coronavirus 229E	KT359784	850	2012	Human	Homo sapiens	Malaysia	genomic RNA	
13-18	Human coronavirus 229E	AY386392	1736	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
13-4	Human coronavirus 229E	AY386386	1702	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
13MYKL1719	Human coronavirus 229E	KT359748	767	2013	Human	Homo sapiens	Malaysia	genomic RNA	
13MYKL1719	Human coronavirus 229E	KT359767	1180	2013	Human	Homo sapiens	Malaysia	genomic RNA	
13MYKL1719	Human coronavirus 229E	KT359785	850	2013	Human	Homo sapiens	Malaysia	genomic RNA	
13MYKL1847	Human coronavirus 229E	KT359749	767	2013	Human	Homo sapiens	Malaysia	genomic RNA	
13MYKL1847	Human coronavirus 229E	KT359768	1168	2013	Human	Homo sapiens	Malaysia	genomic RNA	
13MYKL1883	Human coronavirus 229E	KT359769	1165	2013	Human	Homo sapiens	Malaysia	genomic RNA	
13MYKL1950	Human coronavirus 229E	KT359750	767	2013	Human	Homo sapiens	Malaysia	genomic RNA	
13MYKL1978	Human coronavirus 229E	KT359751	767	2013	Human	Homo sapiens	Malaysia	genomic RNA	
1424A_2009	Human coronavirus 229E	KM055525	1170	2009	Human	Homo sapiens	China	genomic RNA	
1424A_2009	Human coronavirus 229E	KM055560	3513	2009	Human	Homo sapiens	China	genomic RNA	
1424A_2009	Human coronavirus 229E	KM055561	2780	2009	Human	Homo sapiens	China	genomic RNA	
1482A_2009	Human coronavirus 229E	KM055526	1170	2009	Human	Homo sapiens	China	genomic RNA	
1482A_2009	Human coronavirus 229E	KM055553	3513	2009	Human	Homo sapiens	China	genomic RNA	
1482A_2009	Human coronavirus 229E	KM055562	2780	2009	Human	Homo sapiens	China	genomic RNA	
1512A_2009	Human coronavirus 229E	KM055501	1170	2009	Human	Homo sapiens	China	genomic RNA	
1512A_2009	Human coronavirus 229E	KM055532	3516	2009	Human	Homo sapiens	China	genomic RNA	
1512A_2009	Human coronavirus 229E	KM055563	2780	2009	Human	Homo sapiens	China	genomic RNA	
1518A_2009	Human coronavirus 229E	KM055502	1170	2009	Human	Homo sapiens	China	genomic RNA	
1518A_2009	Human coronavirus 229E	KM055533	3516	2009	Human	Homo sapiens	China	genomic RNA	
1518A_2009	Human coronavirus 229E	KM055564	2780	2009	Human	Homo sapiens	China	genomic RNA	
1546A_2009	Human coronavirus 229E	KM055503	1170	2009	Human	Homo sapiens	China	genomic RNA	
1546A_2009	Human coronavirus 229E	KM055534	3516	2009	Human	Homo sapiens	China	genomic RNA	
1546A_2009	Human coronavirus 229E	KM055565	2780	2009	Human	Homo sapiens	China	genomic RNA	
1610	Human coronavirus 229E	AY386389	1700	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
1623	Human coronavirus 229E	AY386384	1702	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
1649A_2009	Human coronavirus 229E	KM055527	1170	2009	Human	Homo sapiens	China	genomic RNA	
1649A_2009	Human coronavirus 229E	KM055535	3516	2009	Human	Homo sapiens	China	genomic RNA	
1649A_2009	Human coronavirus 229E	KM055566	2780	2009	Human	Homo sapiens	China	genomic RNA	
1658A_2009	Human coronavirus 229E	KM055504	1170	2009	Human	Homo sapiens	China	genomic RNA	
1658A_2009	Human coronavirus 229E	KM055536	3516	2009	Human	Homo sapiens	China	genomic RNA	
1658A_2009	Human coronavirus 229E	KM055567	2780	2009	Human	Homo sapiens	China	genomic RNA	
1667A_2009	Human coronavirus 229E	KM055505	1170	2009	Human	Homo sapiens	China	genomic RNA	
1667A_2009	Human coronavirus 229E	KM055537	3516	2009	Human	Homo sapiens	China	genomic RNA	
1667A_2009	Human coronavirus 229E	KM055568	2780	2009	Human	Homo sapiens	China	genomic RNA	
1761A_2010	Human coronavirus 229E	KM055506	1170	2010	Human	Homo sapiens	China	genomic RNA	
1761A_2010	Human coronavirus 229E	KM055538	3516	2010	Human	Homo sapiens	China	genomic RNA	
1761A_2010	Human coronavirus 229E	KM055569	2780	2010	Human	Homo sapiens	China	genomic RNA	
1781A_2010	Human coronavirus 229E	KM055507	1170	2010	Human	Homo sapiens	China	genomic RNA	
1781A_2010	Human coronavirus 229E	KM055539	3516	2010	Human	Homo sapiens	China	genomic RNA	
1781A_2010	Human coronavirus 229E	KM055570	2780	2010	Human	Homo sapiens	China	genomic RNA	
1782A_2010	Human coronavirus 229E	KM055508	1170	2010	Human	Homo sapiens	China	genomic RNA	
1782A_2010	Human coronavirus 229E	KM055540	3516	2010	Human	Homo sapiens	China	genomic RNA	
1782A_2010	Human coronavirus 229E	KM055571	2780	2010	Human	Homo sapiens	China	genomic RNA	
1827A_2010	Human coronavirus 229E	KM055509	1170	2010	Human	Homo sapiens	China	genomic RNA	
1827A_2010	Human coronavirus 229E	KM055541	3516	2010	Human	Homo sapiens	China	genomic RNA	
1827A_2010	Human coronavirus 229E	KM055572	2780	2010	Human	Homo sapiens	China	genomic RNA	
1829A_2010	Human coronavirus 229E	KM055510	1170	2010	Human	Homo sapiens	China	genomic RNA	
1829A_2010	Human coronavirus 229E	KM055542	3516	2010	Human	Homo sapiens	China	genomic RNA	
1829A_2010	Human coronavirus 229E	KM055573	2780	2010	Human	Homo sapiens	China	genomic RNA	
18D2NS	Human coronavirus 229E	AY386382	1702	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
1990A_2010	Human coronavirus 229E	KM055511	1170	2010	Human	Homo sapiens	China	genomic RNA	
1990A_2010	Human coronavirus 229E	KM055543	3516	2010	Human	Homo sapiens	China	genomic RNA	
1990A_2010	Human coronavirus 229E	KM055574	2780	2010	Human	Homo sapiens	China	genomic RNA	
229E	Human coronavirus 229E	AF304460	27317	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
229E	Human coronavirus 229E	AF344186	3600	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
229E	Human coronavirus 229E	AF344187	3600	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
229E	Human coronavirus 229E	AF344188	3600	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
229E	Human coronavirus 229E	AF344189	3600	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
229E	Human coronavirus 229E	AY751810	176	-N/A-	Unknown	-N/A-	Thailand	genomic RNA	
229E	Human coronavirus 229E	AY751811	176	-N/A-	Unknown	-N/A-	Thailand	genomic RNA	
229E	Human coronavirus 229E	AY751812	176	-N/A-	Unknown	-N/A-	Thailand	genomic RNA	
229E	Human coronavirus 229E	AY751813	174	-N/A-	Unknown	-N/A-	Thailand	genomic RNA	
229E	Human coronavirus 229E	AY751814	174	-N/A-	Unknown	-N/A-	Thailand	genomic RNA	
229E	Human coronavirus 229E	AY751815	174	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
229E	Human coronavirus 229E	AY751816	174	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
229E	Human coronavirus 229E	AY751817	305	-N/A-	Unknown	-N/A-	Thailand	genomic RNA	
229E	Human coronavirus 229E	AY751818	305	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
229E	Human coronavirus 229E	AY754762	174	-N/A-	Unknown	-N/A-	Thailand	genomic RNA	
229E	Human coronavirus 229E	KF285470	1603	-N/A-	Human	Homo sapiens	Sweden	genomic RNA	
229E	Human coronavirus 229E	KF285471	1603	-N/A-	Human	Homo sapiens	Sweden	genomic RNA	
229E	Human coronavirus 229E	KF285472	1603	-N/A-	Human	Homo sapiens	Sweden	genomic RNA	
229E	Human coronavirus 229E	KF285473	1603	-N/A-	Human	Homo sapiens	Sweden	genomic RNA	
229E	Human coronavirus 229E	KF285474	1603	-N/A-	Human	Homo sapiens	Sweden	genomic RNA	
229E	Human coronavirus 229E	KF285475	1603	-N/A-	Human	Homo sapiens	Sweden	genomic RNA	
229E	Human coronavirus 229E	KF285476	1603	-N/A-	Human	Homo sapiens	Sweden	genomic RNA	
229E	Human coronavirus 229E	KF285477	1603	-N/A-	Human	Homo sapiens	Sweden	genomic RNA	
229E	Human coronavirus 229E	KF285478	1603	-N/A-	Human	Homo sapiens	Sweden	genomic RNA	
229E	Human coronavirus 229E	KF285479	1603	-N/A-	Human	Homo sapiens	Sweden	genomic RNA	
229E	Human coronavirus 229E	KF285480	1756	-N/A-	Human	Homo sapiens	Sweden	genomic RNA	
229E	Human coronavirus 229E	KF285481	1315	-N/A-	Human	Homo sapiens	Sweden	genomic RNA	
229E	Human coronavirus 229E	KF285482	1315	-N/A-	Human	Homo sapiens	Sweden	genomic RNA	
229E	Human coronavirus 229E	KF293662	1070	-N/A-	Human	Homo sapiens	Sweden	genomic RNA	
229E	Human coronavirus 229E	KF293663	1070	-N/A-	Human	Homo sapiens	Sweden	genomic RNA	
229E	Human coronavirus 229E	KF293664	26897	-N/A-	Human	Homo sapiens	Sweden	genomic RNA	
229E	Human coronavirus 229E	KF293665	26897	-N/A-	Human	Homo sapiens	Sweden	genomic RNA	
229E	Human coronavirus 229E	KF293666	26897	-N/A-	Human	Homo sapiens	Sweden	genomic RNA	
229E	Human coronavirus 229E	KJ768612	497	12/13/2011	Human	Homo sapiens	Ghana	genomic RNA	
229E	Human coronavirus 229E	KJ768613	498	12/14/2011	Human	Homo sapiens	Ghana	genomic RNA	
229E	Human coronavirus 229E	KJ768614	497	12/07/2011	Human	Homo sapiens	Ghana	genomic RNA	
229E	Human coronavirus 229E	KJ768615	497	12/13/2011	Human	Homo sapiens	Ghana	genomic RNA	
229E	Human coronavirus 229E	KJ768616	497	02/17/2012	Human	Homo sapiens	Ghana	genomic RNA	
229E	Human coronavirus 229E	KJ768617	497	01/04/2012	Human	Homo sapiens	Ghana	genomic RNA	
229E	Human coronavirus 229E	KJ768618	497	01/04/2012	Human	Homo sapiens	Ghana	genomic RNA	
229E	Human coronavirus 229E	KJ768619	497	01/04/2012	Human	Homo sapiens	Ghana	genomic RNA	
229E	Human coronavirus 229E	KJ768620	497	07/18/2012	Human	Homo sapiens	Ghana	genomic RNA	
229E	Human coronavirus 229E	KJ768621	407	05/11/2012	Human	Homo sapiens	Ghana	genomic RNA	
229E	Human coronavirus 229E	KJ796450	502	12/13/2011	Human	Homo sapiens	Ghana	genomic RNA	
229E	Human coronavirus 229E	KJ796451	502	12/08/2011	Human	Homo sapiens	Ghana	genomic RNA	
229E	Human coronavirus 229E	KJ796452	502	12/08/2011	Human	Homo sapiens	Ghana	genomic RNA	
229E	Human coronavirus 229E	KJ796453	502	12/13/2011	Human	Homo sapiens	Ghana	genomic RNA	
229E	Human coronavirus 229E	KJ796454	502	03/19/2012	Human	Homo sapiens	Ghana	genomic RNA	
229E	Human coronavirus 229E	KJ796455	502	10/24/2011	Human	Homo sapiens	Ghana	genomic RNA	
229E	Human coronavirus 229E	KJ796456	502	03/19/2012	Human	Homo sapiens	Ghana	genomic RNA	
229E	Human coronavirus 229E	KJ796457	502	12/08/2011	Human	Homo sapiens	Ghana	genomic RNA	
229E	Human coronavirus 229E	KJ796458	502	12/08/2011	Human	Homo sapiens	Ghana	genomic RNA	
229E	Human coronavirus 229E	KJ796459	502	12/08/2011	Human	Homo sapiens	Ghana	genomic RNA	
229E	Human coronavirus 229E	KJ796460	502	12/08/2011	Human	Homo sapiens	Ghana	genomic RNA	
229E	Human coronavirus 229E	KJ796461	502	12/19/2011	Human	Homo sapiens	Ghana	genomic RNA	
229E	Human coronavirus 229E	KJ796462	502	12/21/2011	Human	Homo sapiens	Ghana	genomic RNA	
229E	Human coronavirus 229E	KJ796463	502	03/19/2012	Human	Homo sapiens	Ghana	genomic RNA	
229E	Human coronavirus 229E	KJ866056	411	05/15/2013	Human	Homo sapiens	Thailand	genomic RNA	
229E	Human coronavirus 229E	KJ866057	411	06/12/2013	Human	Homo sapiens	Thailand	genomic RNA	
229E	Human coronavirus 229E	KJ866058	411	02/04/2012	Human	Homo sapiens	Thailand	genomic RNA	
229E	Human coronavirus 229E	KJ866059	411	02/04/2012	Human	Homo sapiens	Thailand	genomic RNA	
229E	Human coronavirus 229E	KJ866060	411	05/22/2012	Human	Homo sapiens	Thailand	genomic RNA	
