Strain Name	Virus Species	GenBank Accession	Sequence Length	Collection Date	Host	GenBank Host	Country	Mol Type
12MYKL1217	Human coronavirus HKU1	KR055529	1115	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL1217	Human coronavirus HKU1	KR055550	1323	2012	Human	Homo sapiens	Malaysia	genomic RNA	
12MYKL1217	Human coronavirus HKU1	KR055572	897	2012	Human	Homo sapiens	Malaysia	genomic RNA	
13MYKL1781	Human coronavirus HKU1	KR055530	1115	2013	Human	Homo sapiens	Malaysia	genomic RNA	
13MYKL1781	Human coronavirus HKU1	KR055551	1323	2013	Human	Homo sapiens	Malaysia	genomic RNA	
13MYKL1781	Human coronavirus HKU1	KR055573	897	2013	Human	Homo sapiens	Malaysia	genomic RNA	
13MYKL1898	Human coronavirus HKU1	KR055531	1115	2013	Human	Homo sapiens	Malaysia	genomic RNA	
13MYKL1898	Human coronavirus HKU1	KR055552	1323	2013	Human	Homo sapiens	Malaysia	genomic RNA	
13MYKL1898	Human coronavirus HKU1	KR055574	897	2013	Human	Homo sapiens	Malaysia	genomic RNA	
13MYKL1997	Human coronavirus HKU1	KR055553	1323	2013	Human	Homo sapiens	Malaysia	genomic RNA	
13MYKL1997	Human coronavirus HKU1	KR055575	897	2013	Human	Homo sapiens	Malaysia	genomic RNA	
25071126	Human coronavirus HKU1	DQ131641	357	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
25072164	Human coronavirus HKU1	DQ131642	604	-N/A-	Unknown	-N/A-	France	genomic RNA	
25076027	Human coronavirus HKU1	DQ131635	357	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
25095085	Human coronavirus HKU1	DQ131636	357	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
25095085	Human coronavirus HKU1	DQ131643	675	-N/A-	Unknown	-N/A-	France	genomic RNA	
25096015	Human coronavirus HKU1	DQ131637	357	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
25096015	Human coronavirus HKU1	DQ131644	689	-N/A-	Unknown	-N/A-	France	genomic RNA	
25101135	Human coronavirus HKU1	DQ131638	357	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
25101135	Human coronavirus HKU1	DQ131645	593	-N/A-	Unknown	-N/A-	France	genomic RNA	
25105035	Human coronavirus HKU1	DQ131639	357	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
25132164	Human coronavirus HKU1	DQ131640	357	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
37019	Human coronavirus HKU1	FJ656123	391	01/2006	Human	Homo sapiens	Sweden	genomic RNA	
37019	Human coronavirus HKU1	FJ656143	829	01/2006	Human	Homo sapiens	Sweden	genomic RNA	
37068	Human coronavirus HKU1	FJ656124	391	01/2006	Human	Homo sapiens	Sweden	genomic RNA	
37068	Human coronavirus HKU1	FJ656144	829	01/2006	Human	Homo sapiens	Sweden	genomic RNA	
37107	Human coronavirus HKU1	FJ656125	391	02/2006	Human	Homo sapiens	Sweden	genomic RNA	
37107	Human coronavirus HKU1	FJ656145	829	02/2006	Human	Homo sapiens	Sweden	genomic RNA	
37113	Human coronavirus HKU1	FJ656126	391	02/2006	Human	Homo sapiens	Sweden	genomic RNA	
37113	Human coronavirus HKU1	FJ656146	829	02/2006	Human	Homo sapiens	Sweden	genomic RNA	
37130	Human coronavirus HKU1	FJ656127	391	02/2006	Human	Homo sapiens	Sweden	genomic RNA	
37178	Human coronavirus HKU1	FJ656128	391	02/2006	Human	Homo sapiens	Sweden	genomic RNA	
37178	Human coronavirus HKU1	FJ656147	829	02/2006	Human	Homo sapiens	Sweden	genomic RNA	
37261	Human coronavirus HKU1	FJ656129	391	03/2006	Human	Homo sapiens	Sweden	genomic RNA	
37261	Human coronavirus HKU1	FJ656148	829	03/2006	Human	Homo sapiens	Sweden	genomic RNA	
37289	Human coronavirus HKU1	FJ656130	391	03/2006	Human	Homo sapiens	Sweden	genomic RNA	
37289	Human coronavirus HKU1	FJ656149	840	03/2006	Human	Homo sapiens	Sweden	genomic RNA	
37300	Human coronavirus HKU1	FJ656131	391	03/2006	Human	Homo sapiens	Sweden	genomic RNA	
37300	Human coronavirus HKU1	FJ656150	829	03/2006	Human	Homo sapiens	Sweden	genomic RNA	
BJ01-p3	Human coronavirus HKU1	KT779555	29887	04/23/2009	Human	Homo sapiens	China	genomic RNA	
BJ01-p9	Human coronavirus HKU1	KT779556	29887	04/23/2009	Human	Homo sapiens	China	genomic RNA	
BJ225	Human coronavirus HKU1	KM676084	384	05/2014	Human	Homo sapiens	China	genomic RNA	
BJ226	Human coronavirus HKU1	KM676085	384	05/2014	Human	Homo sapiens	China	genomic RNA	
BJ250	Human coronavirus HKU1	KM676086	384	05/2014	Human	Homo sapiens	China	genomic RNA	
BJ297	Human coronavirus HKU1	KM676087	384	05/2014	Human	Homo sapiens	China	genomic RNA	
BJ321	Human coronavirus HKU1	KM676088	384	05/2014	Human	Homo sapiens	China	genomic RNA	
BJET1	Human coronavirus HKU1	KP113658	840	09/2010	Human	Homo sapiens	China	genomic RNA	
BJET2	Human coronavirus HKU1	KP113659	840	09/2010	Human	Homo sapiens	China	genomic RNA	
BJET3	Human coronavirus HKU1	KP113660	840	09/2010	Human	Homo sapiens	China	genomic RNA	
BJET4	Human coronavirus HKU1	KP113661	840	09/2010	Human	Homo sapiens	China	genomic RNA	
BJET5	Human coronavirus HKU1	KP113662	840	09/2010	Human	Homo sapiens	China	genomic RNA	
BRA09	Human coronavirus HKU1	GU904423	143	03/15/1995	Human	Homo sapiens	Brazil	genomic RNA	
BRA104	Human coronavirus HKU1	GU904427	143	07/24/1995	Human	Homo sapiens	Brazil	genomic RNA	
BRA169	Human coronavirus HKU1	FJ931534	173	11/08/1995	Human	Homo sapiens	Brazil	genomic RNA	
BRA37	Human coronavirus HKU1	GU904424	143	04/25/1995	Human	Homo sapiens	Brazil	genomic RNA	
BRA90	Human coronavirus HKU1	GU904425	143	07/07/1995	Human	Homo sapiens	Brazil	genomic RNA	
BRA99	Human coronavirus HKU1	GU904426	143	07/12/1995	Human	Homo sapiens	Brazil	genomic RNA	
Caen	Human coronavirus HKU1	DQ778921	1326	-N/A-	Unknown	-N/A-	France	genomic RNA	
Caen1	Human coronavirus HKU1	HM034837	29862	03/04/2005	Human	Homo sapiens	France	genomic RNA	
Caen303	Human coronavirus HKU1	EF507778	408	2005	Unknown	-N/A-	-N/A-	genomic RNA	
Caen415	Human coronavirus HKU1	EF507769	309	2005	Unknown	-N/A-	-N/A-	genomic RNA	
Caen415	Human coronavirus HKU1	EF507779	408	2005	Unknown	-N/A-	-N/A-	genomic RNA	
Caen476	Human coronavirus HKU1	EF507780	408	2005	Unknown	-N/A-	-N/A-	genomic RNA	
Caen486	Human coronavirus HKU1	EF507781	408	2005	Unknown	-N/A-	-N/A-	genomic RNA	
Caen517	Human coronavirus HKU1	EF507770	309	2005	Unknown	-N/A-	-N/A-	genomic RNA	
Caen517	Human coronavirus HKU1	EF507782	408	2005	Unknown	-N/A-	-N/A-	genomic RNA	
Caen538	Human coronavirus HKU1	EF507771	309	2005	Unknown	-N/A-	-N/A-	genomic RNA	
Caen538	Human coronavirus HKU1	EF507783	408	2005	Unknown	-N/A-	-N/A-	genomic RNA	
Caen539	Human coronavirus HKU1	EF507772	309	2005	Unknown	-N/A-	-N/A-	genomic RNA	
Caen542	Human coronavirus HKU1	EF507773	309	2005	Unknown	-N/A-	-N/A-	genomic RNA	
Caen542	Human coronavirus HKU1	EF507784	408	2005	Unknown	-N/A-	-N/A-	genomic RNA	
Caen551	Human coronavirus HKU1	EF507785	408	2005	Unknown	-N/A-	-N/A-	genomic RNA	
Caen555	Human coronavirus HKU1	EF507774	309	2005	Unknown	-N/A-	-N/A-	genomic RNA	
Caen555	Human coronavirus HKU1	EF507786	408	2005	Unknown	-N/A-	-N/A-	genomic RNA	
Caen573	Human coronavirus HKU1	EF507787	408	2005	Unknown	-N/A-	-N/A-	genomic RNA	
Caen640	Human coronavirus HKU1	EF507788	408	2005	Unknown	-N/A-	-N/A-	genomic RNA	
Caen662	Human coronavirus HKU1	EF507789	408	2005	Unknown	-N/A-	-N/A-	genomic RNA	
Caen677	Human coronavirus HKU1	EF507775	309	2005	Unknown	-N/A-	-N/A-	genomic RNA	
Caen677	Human coronavirus HKU1	EF507790	408	2005	Unknown	-N/A-	-N/A-	genomic RNA	
Caen678	Human coronavirus HKU1	EF507791	408	2005	Unknown	-N/A-	-N/A-	genomic RNA	
Caen688	Human coronavirus HKU1	EF507792	408	2005	Unknown	-N/A-	-N/A-	genomic RNA	
Caen693	Human coronavirus HKU1	EF507793	408	2005	Unknown	-N/A-	-N/A-	genomic RNA	
Caen703	Human coronavirus HKU1	EF507776	309	2005	Unknown	-N/A-	-N/A-	genomic RNA	
Caen703	Human coronavirus HKU1	EF507794	408	2005	Unknown	-N/A-	-N/A-	genomic RNA	
Caen799	Human coronavirus HKU1	EF507795	408	2005	Unknown	-N/A-	-N/A-	genomic RNA	
Caen899	Human coronavirus HKU1	EF507777	309	2005	Unknown	-N/A-	-N/A-	genomic RNA	
China/Beijing/2009/s41	Human coronavirus HKU1	KR607994	801	2009	Human	Homo sapiens	China	genomic RNA	
China/Beijing/2009/s42	Human coronavirus HKU1	KR607990	801	2009	Human	Homo sapiens	China	genomic RNA	
China/Beijing/2009/s43	Human coronavirus HKU1	KR607993	801	2009	Human	Homo sapiens	China	genomic RNA	
China/Beijing/2009/s44	Human coronavirus HKU1	KR607991	801	2009	Human	Homo sapiens	China	genomic RNA	
China/Beijing/2009/s45	Human coronavirus HKU1	KR607992	801	2009	Human	Homo sapiens	China	genomic RNA	
CU-H2010/2010	Human coronavirus HKU1	JX513212	594	06/17/2010	Human	Homo sapiens	Thailand	genomic RNA	
CU-H2010/2010	Human coronavirus HKU1	JX513246	526	06/17/2010	Human	Homo sapiens	Thailand	genomic RNA	
CU-H2238/2010	Human coronavirus HKU1	JX513213	593	08/26/2010	Human	Homo sapiens	Thailand	genomic RNA	
CU-H2238/2010	Human coronavirus HKU1	JX513247	523	08/26/2010	Human	Homo sapiens	Thailand	genomic RNA	
CU-H2809/2010	Human coronavirus HKU1	JX513214	593	12/09/2010	Human	Homo sapiens	Thailand	genomic RNA	
CU-H2809/2010	Human coronavirus HKU1	JX513248	526	12/09/2010	Human	Homo sapiens	Thailand	genomic RNA	
HCOV/KENYA/001/2010	Human coronavirus HKU1	KP112150	440	07/01/2014	Human	Homo sapiens	Kenya	genomic RNA	
HCOV/KENYA/008/2009	Human coronavirus HKU1	KP112152	440	07/01/2014	Human	Homo sapiens	Kenya	genomic RNA	
HCOV/KENYA/010/2009	Human coronavirus HKU1	KP112151	375	07/01/2014	Human	Homo sapiens	Kenya	genomic RNA	
HKU1	Human coronavirus HKU1	AY597011	29926	-N/A-	Human	Homo sapiens	-N/A-	genomic RNA	
HKU1	Human coronavirus HKU1	KF524862	210	2010	Human	Homo sapiens	USA	genomic RNA	
HKU1	Human coronavirus HKU1	KJ768644	542	02/14/2012	Human	Homo sapiens	Ghana	genomic RNA	
HKU1	Human coronavirus HKU1	KJ768645	542	10/24/2011	Human	Homo sapiens	Ghana	genomic RNA	
HKU1	Human coronavirus HKU1	KJ768646	542	03/19/2012	Human	Homo sapiens	Ghana	genomic RNA	
HKU1	Human coronavirus HKU1	KJ866061	416	05/07/2013	Human	Homo sapiens	Thailand	genomic RNA	
HKU1	Human coronavirus HKU1	KJ866062	416	07/04/2013	Human	Homo sapiens	Thailand	genomic RNA	
HKU1	Human coronavirus HKU1	KJ866063	416	07/25/2013	Human	Homo sapiens	Thailand	genomic RNA	
HKU1	Human coronavirus HKU1	KJ866064	416	08/07/2013	Human	Homo sapiens	Thailand	genomic RNA	
HKU1	Human coronavirus HKU1	KJ866065	416	10/09/2013	Human	Homo sapiens	Thailand	genomic RNA	
HKU1	Human coronavirus HKU1	KJ866066	416	08/12/2012	Human	Homo sapiens	Thailand	genomic RNA	
HKU1	Human coronavirus HKU1	KJ866067	416	02/07/2013	Human	Homo sapiens	Thailand	genomic RNA	
HKU1	Human coronavirus HKU1	KJ866068	416	06/01/2013	Human	Homo sapiens	Thailand	genomic RNA	
HKU1	Human coronavirus HKU1	KJ866069	416	08/24/2013	Human	Homo sapiens	Thailand	genomic RNA	
HKU1	Human coronavirus HKU1	KJ866070	416	10/12/2013	Human	Homo sapiens	Thailand	genomic RNA	
HKU1	Human coronavirus HKU1	KJ866071	416	10/17/2012	Human	Homo sapiens	Thailand	genomic RNA	
HKU1	Human coronavirus HKU1	KJ866072	416	01/08/2013	Human	Homo sapiens	Thailand	genomic RNA	
HKU1	Human coronavirus HKU1	KJ866073	416	01/08/2013	Human	Homo sapiens	Thailand	genomic RNA	
HKU1	Human coronavirus HKU1	KJ866074	416	06/21/2013	Human	Homo sapiens	Thailand	genomic RNA	
HKU1	Human coronavirus HKU1	KJ866075	416	07/18/2013	Human	Homo sapiens	Thailand	genomic RNA	
HKU1	Human coronavirus HKU1	KJ866076	416	07/31/2013	Human	Homo sapiens	Thailand	genomic RNA	
HKU1	Human coronavirus HKU1	KJ866077	416	09/03/2013	Human	Homo sapiens	Thailand	genomic RNA	
HKU1	Human coronavirus HKU1	KJ866078	416	06/28/2012	Human	Homo sapiens	Thailand	genomic RNA	
HKU1	Human coronavirus HKU1	KJ866079	416	03/29/2012	Human	Homo sapiens	Thailand	genomic RNA	
HKU1	Human coronavirus HKU1	KJ866107	454	05/07/2013	Human	Homo sapiens	Thailand	genomic RNA	
HKU1	Human coronavirus HKU1	KJ866108	454	07/04/2013	Human	Homo sapiens	Thailand	genomic RNA	
HKU1	Human coronavirus HKU1	KJ866109	454	07/25/2013	Human	Homo sapiens	Thailand	genomic RNA	
HKU1	Human coronavirus HKU1	KJ866110	454	08/07/2013	Human	Homo sapiens	Thailand	genomic RNA	
HKU1	Human coronavirus HKU1	KJ866111	454	10/09/2013	Human	Homo sapiens	Thailand	genomic RNA	
HKU1	Human coronavirus HKU1	KJ866112	454	08/12/2012	Human	Homo sapiens	Thailand	genomic RNA	
HKU1	Human coronavirus HKU1	KJ866113	454	02/07/2013	Human	Homo sapiens	Thailand	genomic RNA	
HKU1	Human coronavirus HKU1	KJ866114	454	06/01/2013	Human	Homo sapiens	Thailand	genomic RNA	
HKU1	Human coronavirus HKU1	KJ866115	454	08/24/2013	Human	Homo sapiens	Thailand	genomic RNA	
HKU1	Human coronavirus HKU1	KJ866116	454	10/12/2013	Human	Homo sapiens	Thailand	genomic RNA	
HKU1	Human coronavirus HKU1	KJ866117	454	10/17/2012	Human	Homo sapiens	Thailand	genomic RNA	
HKU1	Human coronavirus HKU1	KJ866118	454	01/08/2013	Human	Homo sapiens	Thailand	genomic RNA	
HKU1	Human coronavirus HKU1	KJ866119	454	01/08/2013	Human	Homo sapiens	Thailand	genomic RNA	
HKU1	Human coronavirus HKU1	KJ866120	454	06/21/2013	Human	Homo sapiens	Thailand	genomic RNA	
HKU1	Human coronavirus HKU1	KJ866121	454	07/18/2013	Human	Homo sapiens	Thailand	genomic RNA	
HKU1	Human coronavirus HKU1	KJ866122	454	07/31/2013	Human	Homo sapiens	Thailand	genomic RNA	
HKU1	Human coronavirus HKU1	KJ866123	454	09/03/2013	Human	Homo sapiens	Thailand	genomic RNA	
HKU1	Human coronavirus HKU1	KJ866124	454	06/28/2012	Human	Homo sapiens	Thailand	genomic RNA	
HKU1	Human coronavirus HKU1	KJ866125	454	03/29/2012	Human	Homo sapiens	Thailand	genomic RNA	
HKU1	Human coronavirus HKU1	NC_006577*	29926	-N/A-	Human	Homo sapiens	-N/A-	genomic RNA	
HKU1/HTBEC_lab/BRA/HKU1-21/2006	Human coronavirus HKU1	KF430198	6037	2006	Human	Homo sapiens	Brazil	genomic RNA	
HKU1/HTBEC_lab/BRA/HKU1-22/2007	Human coronavirus HKU1	KF430197	6021	2007	Human	Homo sapiens	Brazil	genomic RNA	
HKU1/HTBEC_lab/BRA/HKU1-23/2006	Human coronavirus HKU1	KF430203	6058	2006	Human	Homo sapiens	Brazil	genomic RNA	
HKU1/human/USA/1102/2005	Human coronavirus HKU1	KF850450	29557	04/09/2005	Human	Homo sapiens	USA	genomic RNA	
HKU1/human/USA/HKU1-1/2005	Human coronavirus HKU1	KF686338	29536	02/18/2005	Human	Homo sapiens	USA	genomic RNA	
HKU1/human/USA/HKU1-10/2010	Human coronavirus HKU1	KF686341	29832	01/16/2010	Human	Homo sapiens	USA	genomic RNA	
HKU1/human/USA/HKU1-11/2009	Human coronavirus HKU1	KF686342	29742	12/13/2009	Human	Homo sapiens	USA	genomic RNA	
HKU1/human/USA/HKU1-12/2010	Human coronavirus HKU1	KF686346	29982	01/09/2010	Human	Homo sapiens	USA	genomic RNA	
HKU1/human/USA/HKU1-13/2010	Human coronavirus HKU1	KF686343	29983	01/08/2010	Human	Homo sapiens	USA	genomic RNA	
HKU1/human/USA/HKU1-14/2009	Human coronavirus HKU1	KF430199	29604	12/28/2009	Human	Homo sapiens	USA	genomic RNA	
HKU1/human/USA/HKU1-15/2009	Human coronavirus HKU1	KF686344	29695	12/28/2009	Human	Homo sapiens	USA	genomic RNA	
HKU1/human/USA/HKU1-16/2010	Human coronavirus HKU1	KF430200	29628	01/08/2010	Human	Homo sapiens	USA	genomic RNA	
HKU1/human/USA/HKU1-18/2010	Human coronavirus HKU1	KF430201	29934	01/22/2010	Human	Homo sapiens; F; 2M	USA	genomic RNA	
HKU1/human/USA/HKU1-20/2010	Human coronavirus HKU1	KF686345	29848	01/30/2010	Human	Homo sapiens; sex: F; age: 11M	USA	genomic RNA	
HKU1/human/USA/HKU1-3/2009	Human coronavirus HKU1	KF686339	29790	10/31/2009	Human	Homo sapiens	USA	genomic RNA	
HKU1/human/USA/HKU1-4/2005	Human coronavirus HKU1	KF430196	29464	04/19/2005	Human	Homo sapiens	USA	genomic RNA	
HKU1/human/USA/HKU1-5/2009	Human coronavirus HKU1	KF686340	29923	11/28/2009	Human	Homo sapiens	USA	genomic RNA	
HKU1/human/USA/HKU1-7/2010	Human coronavirus HKU1	KF430202	29709	01/03/2010	Human	Homo sapiens	USA	genomic RNA	
ITA140	Human coronavirus HKU1	EF549595	81	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
ITA247	Human coronavirus HKU1	EF549596	81	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
ITA259	Human coronavirus HKU1	EF549597	81	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
ITA277	Human coronavirus HKU1	EF549598	81	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
ITA280	Human coronavirus HKU1	EF549599	81	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
ITA284	Human coronavirus HKU1	EF549600	81	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
KNHI-2K70196	Human coronavirus HKU1	JN234478	413	01/2007	Human	Homo sapiens	South Korea	genomic RNA	
KNHI-2K70198	Human coronavirus HKU1	JN234479	413	01/2007	Human	Homo sapiens	South Korea	genomic RNA	
KNHI-2K70536	Human coronavirus HKU1	JN234480	413	01/2007	Human	Homo sapiens	South Korea	genomic RNA	
KNHI-2K71388	Human coronavirus HKU1	JN234481	413	01/2007	Human	Homo sapiens	South Korea	genomic RNA	
KNHI-2K71411	Human coronavirus HKU1	JN234482	413	01/2007	Human	Homo sapiens	South Korea	genomic RNA	
KNHI-2K71415	Human coronavirus HKU1	JN234483	413	01/2007	Human	Homo sapiens	South Korea	genomic RNA	
KNHI-2K72142	Human coronavirus HKU1	JN234484	413	02/2007	Human	Homo sapiens	South Korea	genomic RNA	
