Strain Name	Virus Species	GenBank Accession	Sequence Length	Collection Date	Host	GenBank Host	Country	Mol Type
BCoV/WD/2003/WDBR-934	Betacoronavirus 1	JF795414	327	2003	-N/A-	Bos taurus (cow)	Brazil	genomic RNA	
BCoV/WD/2003/WDBR-938	Betacoronavirus 1	JQ965170	327	2003	Cow	Bos taurus (cow)	Brazil	genomic RNA	
BCoV/WD/2003/WDBR-96	Betacoronavirus 1	JF795406	327	2003	-N/A-	Bos taurus (cow)	Brazil	genomic RNA	
BCoV/WD/2003/WDBR-B-O4	Betacoronavirus 1	JF795402	463	2003	-N/A-	Bos taurus (cow)	Brazil	genomic RNA	
BCoV/WD/2003/WDBR-B-O4	Betacoronavirus 1	JF795430	409	2003	-N/A-	Bos taurus (cow)	Brazil	genomic RNA	
BCoV/WD/2003/WDBR-D-17	Betacoronavirus 1	KP284097	4045	2003	-N/A-	Bos taurus (cow)	Brazil	genomic RNA	
BCoV/WD/2003/WDBR-F-17	Betacoronavirus 1	JF795431	412	2003	-N/A-	Bos taurus (cow)	Brazil	genomic RNA	
BCoV/WD/2003/WDBR-F-20	Betacoronavirus 1	JF795391	399	2003	-N/A-	Bos taurus (cow)	Brazil	genomic RNA	
BCoV/WD/2003/WDBR-F-20	Betacoronavirus 1	JF795418	375	2003	-N/A-	Bos taurus (cow)	Brazil	genomic RNA	
BCoV/WD/2003/WDBR-F-23	Betacoronavirus 1	JF795432	393	2003	-N/A-	Bos taurus (cow)	Brazil	genomic RNA	
BCoV/WD/2007/WDBR-E-34	Betacoronavirus 1	JF795392	445	2007	-N/A-	Bos taurus (cow)	Brazil	genomic RNA	
BCoV/WD/2007/WDBR-E-34	Betacoronavirus 1	JF795419	420	2007	-N/A-	Bos taurus (cow)	Brazil	genomic RNA	
BCoV/WD/2007/WDBR-E-35	Betacoronavirus 1	JF795420	423	2007	-N/A-	Bos taurus (cow)	Brazil	genomic RNA	
BCoV/WD/2007/WDBR-E-37	Betacoronavirus 1	JF795393	403	2007	-N/A-	Bos taurus (cow)	Brazil	genomic RNA	
BCoV/WD/2007/WDBR-E-37	Betacoronavirus 1	JF795421	412	2007	-N/A-	Bos taurus (cow)	Brazil	genomic RNA	
BCoV/WD/2007/WDBR-E-54	Betacoronavirus 1	JF795394	412	2007	-N/A-	Bos taurus (cow)	Brazil	genomic RNA	
BCoV/WD/2007/WDBR-E-54	Betacoronavirus 1	JF795422	410	2007	-N/A-	Bos taurus (cow)	Brazil	genomic RNA	
BCoV/WD/2007/WDBR-E-573	Betacoronavirus 1	JF795404	327	2007	-N/A-	Bos taurus (cow)	Brazil	genomic RNA	
BCoV/WD/2007/WDBR-E-573	Betacoronavirus 1	JF795424	362	2007	-N/A-	Bos taurus (cow)	Brazil	genomic RNA	
BCoV/WD/2007/WDBR-E-577	Betacoronavirus 1	JF795396	446	2007	-N/A-	Bos taurus (cow)	Brazil	genomic RNA	
BCoV/WD/2007/WDBR-E-577	Betacoronavirus 1	JF795425	412	2007	-N/A-	Bos taurus (cow)	Brazil	genomic RNA	
BCoV/WD/2007/WDBR-E-58	Betacoronavirus 1	JF795395	401	2007	-N/A-	Bos taurus (cow)	Brazil	genomic RNA	
BCoV/WD/2007/WDBR-E-58	Betacoronavirus 1	JF795423	418	2007	-N/A-	Bos taurus (cow)	Brazil	genomic RNA	
BCoV/WD/2007/WDBR-E-67	Betacoronavirus 1	JF795434	327	2007	-N/A-	Bos taurus (cow)	Brazil	genomic RNA	
BCoV/WD/2007/WDBR-E-715	Betacoronavirus 1	JF795397	455	2007	-N/A-	Bos taurus (cow)	Brazil	genomic RNA	
BCoV/WD/2007/WDBR-E-715	Betacoronavirus 1	JF795426	414	2007	-N/A-	Bos taurus (cow)	Brazil	genomic RNA	
BCoV/WD/2007/WDBR-E-725	Betacoronavirus 1	JF795398	394	2007	-N/A-	Bos taurus (cow)	Brazil	genomic RNA	
BCoV/WD/2007/WDBR-E-725	Betacoronavirus 1	JF795427	417	2007	-N/A-	Bos taurus (cow)	Brazil	genomic RNA	
BCoV/WD/2007/WDBR-E-729	Betacoronavirus 1	JF795399	419	2007	-N/A-	Bos taurus (cow)	Brazil	genomic RNA	
BCoV/WD/2007/WDBR-E-729	Betacoronavirus 1	JF795428	413	2007	-N/A-	Bos taurus (cow)	Brazil	genomic RNA	
BCoV/WD/2007/WDBR-E-749	Betacoronavirus 1	JF795400	367	2007	-N/A-	Bos taurus (cow)	Brazil	genomic RNA	
BCoV/WD/2007/WDBR-E-766	Betacoronavirus 1	JF795401	444	2007	-N/A-	Bos taurus (cow)	Brazil	genomic RNA	
BCoV/WD/2007/WDBR-E-766	Betacoronavirus 1	JF795429	418	2007	-N/A-	Bos taurus (cow)	Brazil	genomic RNA	
BCoV/WD/2007/WDBR-E-S/N	Betacoronavirus 1	JF795403	416	2007	-N/A-	Bos taurus (cow)	Brazil	genomic RNA	
BCoV/WD/2007/WDBR-E-S/N	Betacoronavirus 1	JF795433	409	2007	-N/A-	Bos taurus (cow)	Brazil	genomic RNA	
BCoV/WD/2007/WDBR-R-31	Betacoronavirus 1	JQ918861	411	2007	Cow	Bos taurus (cow)	Brazil	genomic RNA	
BCoV/WD/2007/WDBR-R-31	Betacoronavirus 1	JQ918875	444	2007	Cow	Bos taurus (cow)	Brazil	genomic RNA	
BCoV/WD/2007/WDBR-R-34	Betacoronavirus 1	JQ918860	402	2007	Cow	Bos taurus (cow)	Brazil	genomic RNA	
BCoV/WD/2007/WDBR-R-34	Betacoronavirus 1	JQ918874	448	2007	Cow	Bos taurus (cow)	Brazil	genomic RNA	
BCoV/WD/2007/WDBR-R-37	Betacoronavirus 1	JQ918863	402	2007	Cow	Bos taurus (cow)	Brazil	genomic RNA	
BCoV/WD/2007/WDBR-R-37	Betacoronavirus 1	JQ918873	394	2007	Cow	Bos taurus (cow)	Brazil	genomic RNA	
BCoV/WD/2007/WDBR-R-54	Betacoronavirus 1	JQ918877	427	2007	Cow	Bos taurus (cow)	Brazil	genomic RNA	
BCoV/WD/2007/WDBR-R-573	Betacoronavirus 1	JQ918858	374	2007	Cow	Bos taurus (cow)	Brazil	genomic RNA	
BCoV/WD/2007/WDBR-R-573	Betacoronavirus 1	JQ918871	416	2007	Cow	Bos taurus (cow)	Brazil	genomic RNA	
BCoV/WD/2007/WDBR-R-577	Betacoronavirus 1	JQ918862	402	2007	Cow	Bos taurus (cow)	Brazil	genomic RNA	
BCoV/WD/2007/WDBR-R-577	Betacoronavirus 1	JQ918876	444	2007	Cow	Bos taurus (cow)	Brazil	genomic RNA	
BCoV/WD/2007/WDBR-R-58	Betacoronavirus 1	JQ918852	362	2007	Cow	Bos taurus (cow)	Brazil	genomic RNA	
BCoV/WD/2007/WDBR-R-58	Betacoronavirus 1	JQ918864	444	2007	Cow	Bos taurus (cow)	Brazil	genomic RNA	
BCoV/WD/2007/WDBR-R-67	Betacoronavirus 1	JQ918856	348	2007	Cow	Bos taurus (cow)	Brazil	genomic RNA	
BCoV/WD/2007/WDBR-R-67	Betacoronavirus 1	JQ918869	444	2007	Cow	Bos taurus (cow)	Brazil	genomic RNA	
BCoV/WD/2007/WDBR-R-715	Betacoronavirus 1	JQ918857	411	2007	Cow	Bos taurus (cow)	Brazil	genomic RNA	
BCoV/WD/2007/WDBR-R-715	Betacoronavirus 1	JQ918870	448	2007	Cow	Bos taurus (cow)	Brazil	genomic RNA	
BCoV/WD/2007/WDBR-R-725	Betacoronavirus 1	JQ918853	368	2007	Cow	Bos taurus (cow)	Brazil	genomic RNA	
BCoV/WD/2007/WDBR-R-725	Betacoronavirus 1	JQ918865	333	2007	Cow	Bos taurus (cow)	Brazil	genomic RNA	
BCoV/WD/2007/WDBR-R-729	Betacoronavirus 1	JQ918855	373	2007	Cow	Bos taurus (cow)	Brazil	genomic RNA	
BCoV/WD/2007/WDBR-R-729	Betacoronavirus 1	JQ918867	442	2007	Cow	Bos taurus (cow)	Brazil	genomic RNA	
BCoV/WD/2007/WDBR-R-749	Betacoronavirus 1	JQ918854	411	2007	Cow	Bos taurus (cow)	Brazil	genomic RNA	
BCoV/WD/2007/WDBR-R-749	Betacoronavirus 1	JQ918866	414	2007	Cow	Bos taurus (cow)	Brazil	genomic RNA	
BCoV/WD/2007/WDBR-R-766	Betacoronavirus 1	JQ918868	448	2007	Cow	Bos taurus (cow)	Brazil	genomic RNA	
BCoV/WD/2007/WDBR-R-S/N	Betacoronavirus 1	JQ918859	402	2007	Cow	Bos taurus (cow)	Brazil	genomic RNA	
BCoV/WD/2007/WDBR-R-S/N	Betacoronavirus 1	JQ918872	441	2007	Cow	Bos taurus (cow)	Brazil	genomic RNA	
BCoV/WD/2008/WDBR-VM	Betacoronavirus 1	JF795435	327	2008	-N/A-	Bos taurus (cow)	Brazil	genomic RNA	
BCoV/WD/WDBR-R	Betacoronavirus 1	JF795436	402	-N/A-	-N/A-	Bos taurus (cow)	Brazil	genomic RNA	
BtCoV/Myotis emarginatus/LUX/LUX15_A_158/2015	Betacoronavirus 1	KY502388	1805	2015	Bat	Myotis emarginatus	Luxembourg	genomic RNA	
BtCoV/Myotis emarginatus/LUX/LUX15_A_288/2015	Betacoronavirus 1	KY502392	522	2015	Bat	Myotis emarginatus	Luxembourg	genomic RNA	
BtCoV/Myotis emarginatus/LUX/LUX16_A_192/2016	Betacoronavirus 1	KY502398	519	2016	Bat	Myotis emarginatus	Luxembourg	genomic RNA	
BtCoV/Myotis emarginatus/LUX/LUX16_A_736/2016	Betacoronavirus 1	KY707827	942	2016	Bat	Myotis emarginatus	Luxembourg	genomic RNA	
Buffalo coronavirus B1-24F	Betacoronavirus 1	KU558922	31039	10/01/2014	Buffalo	Bubalus bubalis	Bangladesh	genomic RNA	
Buffalo coronavirus B1-28F	Betacoronavirus 1	KU558923	30985	10/01/2014	Buffalo	Bubalus bubalis	Bangladesh	genomic RNA	
cow/Brazil/2001/USP-03	Betacoronavirus 1	JF345141	413	2001	Bovine	Bos taurus; calf	Brazil	genomic RNA	
cow/Brazil/2001/USP-03	Betacoronavirus 1	JF345169	258	2001	Bovine	Bos taurus; calf	Brazil	genomic RNA	
cow/Brazil/2001/USP-05	Betacoronavirus 1	JF345142	402	2001	Bovine	Bos taurus; calf	Brazil	genomic RNA	
cow/Brazil/2001/USP-05	Betacoronavirus 1	JF345170	258	2001	Bovine	Bos taurus; calf	Brazil	genomic RNA	
cow/Brazil/2001/USP1	Betacoronavirus 1	JF345140	402	2001	Bovine	Bos taurus; calf	Brazil	genomic RNA	
cow/Brazil/2001/USP1	Betacoronavirus 1	JF345168	283	2001	Bovine	Bos taurus; calf	Brazil	genomic RNA	
cow/Brazil/2010/WDBR-B1	Betacoronavirus 1	JF345129	402	2010	Bovine	Bos taurus; cow	Brazil	genomic RNA	
cow/Brazil/2010/WDBR-B1	Betacoronavirus 1	JF345145	444	2010	Bovine	Bos taurus; cow	Brazil	genomic RNA	
cow/Brazil/2010/WDBR-B1	Betacoronavirus 1	JF345157	259	2010	Bovine	Bos taurus; cow	Brazil	genomic RNA	
cow/Brazil/2010/WDBR-B10	Betacoronavirus 1	JF345138	356	2010	Bovine	Bos taurus; cow	Brazil	genomic RNA	
cow/Brazil/2010/WDBR-B10	Betacoronavirus 1	JF345153	325	2010	Bovine	Bos taurus; cow	Brazil	genomic RNA	
cow/Brazil/2010/WDBR-B10	Betacoronavirus 1	JF345166	259	2010	Bovine	Bos taurus; cow	Brazil	genomic RNA	
cow/Brazil/2010/WDBR-B11	Betacoronavirus 1	JF345139	402	2010	Bovine	Bos taurus; cow	Brazil	genomic RNA	
cow/Brazil/2010/WDBR-B11	Betacoronavirus 1	JF345154	324	2010	Bovine	Bos taurus; cow	Brazil	genomic RNA	
cow/Brazil/2010/WDBR-B11	Betacoronavirus 1	JF345167	258	2010	Bovine	Bos taurus; cow	Brazil	genomic RNA	
cow/Brazil/2010/WDBR-B2	Betacoronavirus 1	JF345130	402	2010	Bovine	Bos taurus; cow	Brazil	genomic RNA	
cow/Brazil/2010/WDBR-B2	Betacoronavirus 1	JF345146	382	2010	Bovine	Bos taurus; cow	Brazil	genomic RNA	
cow/Brazil/2010/WDBR-B2	Betacoronavirus 1	JF345158	258	2010	Bovine	Bos taurus; cow	Brazil	genomic RNA	
cow/Brazil/2010/WDBR-B3	Betacoronavirus 1	JF345131	398	2010	Bovine	Bos taurus; cow	Brazil	genomic RNA	
cow/Brazil/2010/WDBR-B3	Betacoronavirus 1	JF345147	330	2010	Bovine	Bos taurus; cow	Brazil	genomic RNA	
cow/Brazil/2010/WDBR-B3	Betacoronavirus 1	JF345159	236	2010	Bovine	Bos taurus; cow	Brazil	genomic RNA	
cow/Brazil/2010/WDBR-B4	Betacoronavirus 1	JF345132	402	2010	Bovine	Bos taurus; cow	Brazil	genomic RNA	
cow/Brazil/2010/WDBR-B4	Betacoronavirus 1	JF345148	342	2010	Bovine	Bos taurus; cow	Brazil	genomic RNA	
cow/Brazil/2010/WDBR-B4	Betacoronavirus 1	JF345160	258	2010	Bovine	Bos taurus; cow	Brazil	genomic RNA	
cow/Brazil/2010/WDBR-B5	Betacoronavirus 1	JF345133	402	2010	Bovine	Bos taurus; cow	Brazil	genomic RNA	
cow/Brazil/2010/WDBR-B5	Betacoronavirus 1	JF345149	336	2010	Bovine	Bos taurus; cow	Brazil	genomic RNA	
cow/Brazil/2010/WDBR-B5	Betacoronavirus 1	JF345161	258	2010	Bovine	Bos taurus; cow	Brazil	genomic RNA	
cow/Brazil/2010/WDBR-B6	Betacoronavirus 1	JF345134	339	2010	Bovine	Bos taurus; cow	Brazil	genomic RNA	
cow/Brazil/2010/WDBR-B6	Betacoronavirus 1	JF345150	448	2010	Bovine	Bos taurus; cow	Brazil	genomic RNA	
cow/Brazil/2010/WDBR-B6	Betacoronavirus 1	JF345162	251	2010	Bovine	Bos taurus; cow	Brazil	genomic RNA	
cow/Brazil/2010/WDBR-B7	Betacoronavirus 1	JF345135	402	2010	Bovine	Bos taurus; cow	Brazil	genomic RNA	
cow/Brazil/2010/WDBR-B7	Betacoronavirus 1	JF345151	448	2010	Bovine	Bos taurus; cow	Brazil	genomic RNA	
cow/Brazil/2010/WDBR-B7	Betacoronavirus 1	JF345163	249	2010	Bovine	Bos taurus; cow	Brazil	genomic RNA	
cow/Brazil/2010/WDBR-B8	Betacoronavirus 1	JF345136	400	2010	Bovine	Bos taurus; cow	Brazil	genomic RNA	
cow/Brazil/2010/WDBR-B8	Betacoronavirus 1	JF345152	399	2010	Bovine	Bos taurus; cow	Brazil	genomic RNA	
cow/Brazil/2010/WDBR-B8	Betacoronavirus 1	JF345164	251	2010	Bovine	Bos taurus; cow	Brazil	genomic RNA	
cow/Brazil/2010/WDBR-B9	Betacoronavirus 1	JF345137	402	2010	Bovine	Bos taurus; cow	Brazil	genomic RNA	
cow/Brazil/2010/WDBR-B9	Betacoronavirus 1	JF345165	258	2010	Bovine	Bos taurus; cow	Brazil	genomic RNA	
E0-034	Betacoronavirus 1	MH685718	30520	2013	Human	Homo sapiens	Uganda	genomic RNA	
equine/Brazil/2009/E17	Betacoronavirus 1	JF345127	402	2009	Horse	Equus caballus; young adult	Brazil	genomic RNA	
equine/Brazil/2009/E17	Betacoronavirus 1	JF345143	362	2009	Horse	Equus caballus; young adult	Brazil	genomic RNA	
equine/Brazil/2009/E17	Betacoronavirus 1	JF345155	258	2009	Horse	Equus caballus; young adult	Brazil	genomic RNA	
equine/Brazil/2009/E19	Betacoronavirus 1	JF345128	367	2009	Horse	Equus caballus; young adult	Brazil	genomic RNA	
equine/Brazil/2009/E19	Betacoronavirus 1	JF345144	426	2009	Horse	Equus caballus; young adult	Brazil	genomic RNA	
equine/Brazil/2009/E19	Betacoronavirus 1	JF345156	212	2009	Horse	Equus caballus; young adult	Brazil	genomic RNA	
F84/UAE/2013	Betacoronavirus 1	KF894801	1101	2013	Camel	Camelus dromedarius	United Arab Emirates	genomic RNA	
PREDICT-INDSWBT-186	Betacoronavirus 1	KX285045	387	08/21/2013	Bat	Pteropus alecto	Indonesia	mRNA	
0501	Betacoronavirus 1	EU401975	1275	-N/A-	Unknown	-N/A-	South Korea	genomic RNA	
0501	Betacoronavirus 1	EU401980	1347	-N/A-	Unknown	-N/A-	South Korea	genomic RNA	
0501	Betacoronavirus 1	EU686689	4092	-N/A-	Unknown	-N/A-	South Korea	genomic RNA	
1617	Betacoronavirus 1	KP033206	332	2001	Cattle	bovine; beef	Argentina	genomic RNA	
182NS	Betacoronavirus 1	DQ320764	2240	-N/A-	Unknown	-N/A-	USA	genomic RNA	
1837_S	Betacoronavirus 1	MK318178	726	2016	Cattle	cattle	Uruguay	genomic RNA	
1838_S	Betacoronavirus 1	MK318176	726	2016	Cattle	cattle	Uruguay	genomic RNA	
1863_S	Betacoronavirus 1	MK318165	726	2016	Cattle	cattle	Uruguay	genomic RNA	
1864_S	Betacoronavirus 1	MK318164	726	2016	Cattle	cattle	Uruguay	genomic RNA	
1865_S	Betacoronavirus 1	MK318177	726	2016	Cattle	cattle	Uruguay	genomic RNA	
1866_S	Betacoronavirus 1	MK318163	726	2016	Cattle	cattle	Uruguay	genomic RNA	
2026	Betacoronavirus 1	KP033208	332	2002	Cattle	bovine; beef	Argentina	genomic RNA	
220NS	Betacoronavirus 1	DQ320762	2240	-N/A-	Unknown	-N/A-	USA	genomic RNA	
232NS	Betacoronavirus 1	DQ320763	2240	-N/A-	Unknown	-N/A-	USA	genomic RNA	
2340_S	Betacoronavirus 1	MK318162	726	2016	Cattle	cattle	Uruguay	genomic RNA	
2344_S	Betacoronavirus 1	MK318161	725	2016	Cattle	cattle	Uruguay	genomic RNA	
2628_S	Betacoronavirus 1	MK318160	726	2016	Cattle	cattle	Uruguay	genomic RNA	
2644_S	Betacoronavirus 1	MK318159	726	2016	Cattle	cattle	Uruguay	genomic RNA	
2682_S	Betacoronavirus 1	MK318175	460	2016	Cattle	cattle	Uruguay	genomic RNA	
2719_S	Betacoronavirus 1	MK318158	726	2016	Cattle	cattle	Uruguay	genomic RNA	
2967_S	Betacoronavirus 1	MK318157	725	2016	Cattle	cattle	Uruguay	genomic RNA	
2968_S	Betacoronavirus 1	MK318174	457	2016	Cattle	cattle	Uruguay	genomic RNA	
3025_S	Betacoronavirus 1	MK318173	458	2016	Cattle	cattle	Uruguay	genomic RNA	
3030_S	Betacoronavirus 1	MK318172	470	2016	Cattle	cattle	Uruguay	genomic RNA	
3135_S	Betacoronavirus 1	MK318156	726	2016	Cattle	cattle	Uruguay	genomic RNA	
3137_S	Betacoronavirus 1	MK318171	459	2016	Cattle	cattle	Uruguay	genomic RNA	
3138_S	Betacoronavirus 1	MK318155	726	2016	Cattle	cattle	Uruguay	genomic RNA	
3145_S	Betacoronavirus 1	MK318170	460	2016	Cattle	cattle	Uruguay	genomic RNA	
3290_S	Betacoronavirus 1	MK318154	684	2016	Cattle	cattle	Uruguay	genomic RNA	
3292_S	Betacoronavirus 1	MK318153	696	2016	Cattle	cattle	Uruguay	genomic RNA	
3338_S	Betacoronavirus 1	MK318169	420	2017	Cattle	cattle	Uruguay	genomic RNA	
3759_S	Betacoronavirus 1	MK318168	457	2017	Cattle	cattle	Uruguay	genomic RNA	
3858_S	Betacoronavirus 1	MK318152	726	2017	Cattle	cattle	Uruguay	genomic RNA	
3859_S	Betacoronavirus 1	MK318167	429	2017	Cattle	cattle	Uruguay	genomic RNA	
3897_S	Betacoronavirus 1	MK318151	726	2017	Cattle	cattle	Uruguay	genomic RNA	
3898_S	Betacoronavirus 1	MK318150	725	2017	Cattle	cattle	Uruguay	genomic RNA	
3974_S	Betacoronavirus 1	MK318166	430	2017	Cattle	cattle	Uruguay	genomic RNA	
4-17-03	Betacoronavirus 1	MH043952	31019	04/2017	Cattle	Bos taurus	USA	genomic RNA	
4-17-08	Betacoronavirus 1	MH043954	31016	04/2017	Cattle	Bos taurus	USA	genomic RNA	
4-17-25	Betacoronavirus 1	MH043953	31032	04/2017	Cattle	Bos taurus	USA	genomic RNA	
4041	Betacoronavirus 1	KP033210	332	06/16/2009	Cattle	bovine; dairy	Argentina	genomic RNA	
4583	Betacoronavirus 1	KP033209	332	09/16/2009	Cattle	bovine; dairy	Argentina	genomic RNA	
4733	Betacoronavirus 1	KP033205	332	09/28/2009	Cattle	bovine; dairy	Argentina	genomic RNA	
66/H	Betacoronavirus 1	AB451543	411	-N/A-	Unknown	-N/A-	Japan	genomic RNA	
7-16-23	Betacoronavirus 1	MH043955	31032	07/2016	Cattle	Bos taurus	USA	genomic RNA	
717_S	Betacoronavirus 1	MK318179	471	2016	Cattle	cattle	Uruguay	genomic RNA	
A	Betacoronavirus 1	MK989614	414	02/15/2019	Cattle	cattle	Turkey	genomic RNA	
A3	Betacoronavirus 1	EU401977	1275	-N/A-	Unknown	-N/A-	South Korea	genomic RNA	
A3	Betacoronavirus 1	EU401983	1347	-N/A-	Unknown	-N/A-	South Korea	genomic RNA	
A3	Betacoronavirus 1	EU401987	4092	-N/A-	Unknown	-N/A-	South Korea	genomic RNA	
ABT/16/BF/BoCv183	Betacoronavirus 1	KX897159	419	2016	Buffalo	buffalo	India	genomic RNA	
ABT/BF/16/Bocv164	Betacoronavirus 1	KX897161	454	2016	Buffalo	buffalo	India	genomic RNA	
ABT/BF/16/Bocv167	Betacoronavirus 1	KX897160	457	2016	Buffalo	buffalo	India	genomic RNA	
ABT/BF/16/Bocv86	Betacoronavirus 1	KX897162	464	2016	Buffalo	buffalo	India	genomic RNA	
AC1_0611	Betacoronavirus 1	JN795141	1038	2006	Cattle	cattle	Sweden	genomic RNA	
AC2_0711	Betacoronavirus 1	JN795142	1038	2007	Cattle	cattle	Sweden	genomic RNA	
An-11	Betacoronavirus 1	GQ259979	487	09/2005	Cow	Bos taurus (cattle)	Turkey	genomic RNA	
An-4	Betacoronavirus 1	GQ259978	450	09/2005	Cow	Bos taurus (cattle)	Turkey	genomic RNA	
Arg95	Betacoronavirus 1	KP033207	332	1995	Cattle	bovine; dairy	Argentina	genomic RNA	
Arg95TC	Betacoronavirus 1	KP059127	1555	06/24/2011	Cattle	bovine; dairy	Argentina	genomic RNA	
ARRIAH	Betacoronavirus 1	AY092770	228	-N/A-	Unknown	-N/A-	-N/A-	mRNA	
Asan11	Betacoronavirus 1	MN650888	836	-N/A-	Unknown	pre-weaned Korean native calf	South Korea	genomic RNA	
Asan15	Betacoronavirus 1	MN650889	836	-N/A-	Unknown	pre-weaned Korean native calf	South Korea	genomic RNA	
AT13	Betacoronavirus 1	KY612617	2304	-N/A-	Cattle	cattle	Austria	genomic RNA	
AT15	Betacoronavirus 1	KY612618	2304	-N/A-	Cattle	cattle	Austria	genomic RNA	
B	Betacoronavirus 1	MK989615	414	02/15/2019	Cattle	cattle	Turkey	genomic RNA	
B27/10	Betacoronavirus 1	KM677147	362	2011	Cattle	cattle	Croatia	genomic RNA	
B27/10	Betacoronavirus 1	KM677163	975	2011	Cattle	cattle	Croatia	genomic RNA	
B30/10	Betacoronavirus 1	KM677148	362	2011	Cattle	cattle	Croatia	genomic RNA	
B30/10	Betacoronavirus 1	KM677164	975	2011	Cattle	cattle	Croatia	genomic RNA	
B32/11	Betacoronavirus 1	KM677149	362	2011	Cattle	cattle	Croatia	genomic RNA	
B32/11	Betacoronavirus 1	KM677165	975	2011	Cattle	cattle	Croatia	genomic RNA	
B34649/11	Betacoronavirus 1	KM677150	362	2011	Cattle	cattle	Croatia	genomic RNA	
B34649/11	Betacoronavirus 1	KM677166	975	2011	Cattle	cattle	Croatia	genomic RNA	
B3492/11	Betacoronavirus 1	KM677151	362	2011	Cattle	cattle	Croatia	genomic RNA	
B3492/11	Betacoronavirus 1	KM677167	975	2011	Cattle	cattle	Croatia	genomic RNA	
B37/11	Betacoronavirus 1	KM677152	362	2011	Cattle	cattle	Croatia	genomic RNA	
B37/11	Betacoronavirus 1	KM677168	975	2011	Cattle	cattle	Croatia	genomic RNA	
B5324	Betacoronavirus 1	KP059126	1555	08/12/2013	Cattle	bovine; dairy	Argentina	genomic RNA	
B6075/12	Betacoronavirus 1	KM677153	362	2011	Cattle	cattle	Croatia	genomic RNA	
B6075/12	Betacoronavirus 1	KM677169	975	2011	Cattle	cattle	Croatia	genomic RNA	
B60853/11	Betacoronavirus 1	KM677154	362	2011	Cattle	cattle	Croatia	genomic RNA	
B60853/11	Betacoronavirus 1	KM677170	975	2011	Cattle	cattle	Croatia	genomic RNA	
BALAHNA/09/00	Betacoronavirus 1	AY184411	228	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
BCD08	Betacoronavirus 1	KC907368	999	05/25/2009	Cattle	6 days old calf	Turkey	genomic RNA	
BCD117	Betacoronavirus 1	KC907370	999	11/09/2009	Cattle	9 days old calf	Turkey	genomic RNA	
BCD14	Betacoronavirus 1	KC907369	999	10/23/2009	Cattle	15 days old calf	Turkey	genomic RNA	
BCoV C11/11/Ire	Betacoronavirus 1	JN204180	248	2011	Cattle	bovine	Ireland	genomic RNA	
